DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
09/01/2016,15:09,,,,,,EAST 169 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513368,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,,,,,,NORTHERN BOULEVARD,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512321,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,,,40.5835346,-73.9841723,"(40.5835346, -73.9841723)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511289,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512007,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,MANHATTAN,10023,,,,,,25        WEST 68 STREET,1,0,2,0,0,0,0,0,Unspecified,,,,,3512690,PASSENGER VEHICLE,,,,
09/17/2016,22:09,,,40.7188655,-73.9748205,"(40.7188655, -73.9748205)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3521951,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/17/2016,23:09,QUEENS,11421,,,,,,81-06     91 AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3522199,PASSENGER VEHICLE,,,,
09/17/2016,23:09,BROOKLYN,11236,,,,REMSEN AVENUE,AVENUE N,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3522606,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/17/2016,2:09,BRONX,10457,,,,HUGHES AVENUE,EAST TREMONT AVENUE,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3521794,TAXI,PASSENGER VEHICLE,,,
09/17/2016,2:09,BROOKLYN,11221,,,,,,1212      MYRTLE AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3522698,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
09/17/2016,5:09,QUEENS,11367,,,,,,65-30     KISSENA BOULEVARD,0,0,0,0,0,0,0,0,,,,,,3523115,,,,,
09/01/2016,15:09,QUEENS,11385,,,,,,65-17     MYRTLE AVENUE,1,0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3512216,BICYCLE,PASSENGER VEHICLE,,,
09/01/2016,15:09,,,,,,SOUTH CONDUIT AVENUE,LINDEN BOULEVARD,,1,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3512252,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BRONX,10469,,,,BARTOW AVENUE,EAST GUN HILL ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511872,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/12/2016,23:08,MANHATTAN,10027,,,,AMSTERDAM AVENUE,WEST 128 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3499974,PICK-UP TRUCK,OTHER,,,
08/12/2016,23:08,MANHATTAN,10030,,,,,,176       WEST 135 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3500010,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/12/2016,23:08,,,,,,,,1         RODMANS NECK ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3500891,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
08/25/2015,5:30,,,40.7494725,-73.7563932,"(40.7494725, -73.7563932)",,,,0,0,0,0,0,0,0,0,Obstruction/Debris,,,,,3284306,PASSENGER VEHICLE,,,,
09/16/2016,11:09,QUEENS,11426,,,,,,248-27    JAMAICA AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3521330,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/16/2016,11:09,BROOKLYN,11226,,,,CHURCH AVENUE,NOSTRAND AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3522810,SPORT UTILITY / STATION WAGON,,,,
09/01/2016,16:09,BROOKLYN,11201,,,,ATLANTIC AVENUE,BOERUM PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512491,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BROOKLYN,11201,,,,HICKS STREET,PACIFIC STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3515495,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BROOKLYN,11217,,,,BALTIC STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512118,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BROOKLYN,11224,,,,OCEAN PARKWAY,NEPTUNE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511913,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BROOKLYN,11235,,,,EAST 21 STREET,AVENUE Z,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513443,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,BROOKLYN,11236,,,,,,1218      REMSEN AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511976,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,QUEENS,11372,,,,,,37-07     73 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512996,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/16/2016,11:09,QUEENS,11413,,,,,,136-40    SPRINGFIELD BOULEVARD,1,0,0,0,0,0,1,0,Other Vehicular,Failure to Yield Right-of-Way,,,,3521490,PASSENGER VEHICLE,,,,
09/16/2016,12:09,MANHATTAN,10035,,,,PARK AVENUE,EAST 123 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3523128,SPORT UTILITY / STATION WAGON,,,,
09/16/2016,12:10,,,40.6076439,-74.0337404,"(40.6076439, -74.0337404)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3523196,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
09/16/2016,13:09,,,40.621493,-74.170754,"(40.621493, -74.170754)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3522203,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
09/16/2016,14:09,QUEENS,11101,,,,44 DRIVE,11 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,3524825,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
09/16/2016,14:09,STATEN ISLAND,10306,,,,CLARKE AVENUE,KENSICO STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3523459,PASSENGER VEHICLE,,,,
09/16/2016,14:09,,,,,,MAURICE AVENUE,BORDEN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Aggressive Driving/Road Rage,,,,3522622,PASSENGER VEHICLE,,,,
09/16/2016,14:09,,,,,,,,LIBERTY AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3524870,PASSENGER VEHICLE,,,,
09/16/2016,14:30,,,40.7011825,-73.9877702,"(40.7011825, -73.9877702)",,,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3521249,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
09/16/2016,15:09,,,,,,1 AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,Driver Inexperience,,,3521609,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
09/01/2016,16:09,,,,,,JENNINGS STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511838,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,,,,,,KENT AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512886,PASSENGER VEHICLE,,,,
09/01/2016,16:09,BROOKLYN,11228,,,,BAY RIDGE PARKWAY,12 AVENUE,,1,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,3512788,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
09/01/2016,16:09,MANHATTAN,10003,,,,,,335       EAST 17 STREET,1,0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3511735,PASSENGER VEHICLE,BICYCLE,,,
09/01/2016,16:09,QUEENS,11417,,,,LIBERTY AVENUE,103 STREET,,1,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3512256,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,16:09,,,,,,CONDUIT BOULEVARD,BELMONT AVENUE,,1,0,0,0,2,0,0,0,Unspecified,Unspecified,,,,3512077,PASSENGER VEHICLE,BICYCLE,,,
09/01/2016,16:09,,,40.55734,-74.1748536,"(40.55734, -74.1748536)",,,,1,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,3515096,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
09/01/2016,16:09,MANHATTAN,10036,,,,AVENUE OF THE AMERICAS,WEST 42 STREET,,2,0,0,0,0,0,4,0,Unspecified,Unspecified,,,,3513107,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
09/01/2016,17:09,BRONX,10461,,,,MORRIS PARK AVENUE,HERING AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3511888,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,BROOKLYN,11201,,,,FULTON STREET,FLATBUSH AVENUE EXTENSION,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512156,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,BROOKLYN,11212,,,,CHESTER STREET,RIVERDALE AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512478,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,QUEENS,11691,,,,BEACH 21 STREET,CORNAGA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512184,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,QUEENS,11691,,,,SEAGIRT BOULEVARD,BEACH 17 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3513625,PASSENGER VEHICLE,,,,
09/01/2016,17:09,STATEN ISLAND,10309,,,,WEST SERVICE ROAD,ARTHUR KILL ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512404,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,STATEN ISLAND,10314,,,,JEWETT AVENUE,SAWYER AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3513722,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
09/01/2016,17:09,,,,,,MEEKER AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512884,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/01/2016,17:09,,,,,,NORTH 6 STREET,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3512889,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
